CREST	THIGH	LEG	FOOT	TOE	LIMB	HIP	KNEE	ANKLE	MTP	AB/AD_PELVIS	ROT_PELVIS					PELVIS_R	PELVIS_R	PELVIS_R	PELVIS_L	PELVIS_L	PELVIS_L	
-28.45	-0.15	-67.28333333	-35.2	-7.525333333	-33.15	151.6666667	109	141.6666667	207.5	1.916666667	-180.5966667					-2.28E+01	-3.09E+01	-2.98E+01	-3.66E+01	-2.97E+01	-2.09E+01	-2.85E+01
-28.46666667	-0.0565	-67.36666667	-36.15	-10.83	-33.63333333	151.6666667	108.7833333	142.8333333	205.1666667	2.048333333	-180.7266667					-2.29E+01	-3.10E+01	-2.99E+01	-3.67E+01	-3.00E+01	-2.03E+01	-2.85E+01
-28.43333333	0.0775	-67.45	-36.9	-14.14833333	-34.05	151.1666667	108.55	143.3333333	202.8333333	2.194333333	-180.6865					-2.29E+01	-3.11E+01	-2.99E+01	-3.69E+01	-3.02E+01	-1.96E+01	-2.84E+01
-28.4	0.2705	-67.6	-37.31666667	-17.36666667	-34.4	151.1666667	108.1333333	143.6666667	200	2.339	-180.991					-2.29E+01	-3.12E+01	-2.99E+01	-3.71E+01	-3.05E+01	-1.88E+01	-2.84E+01
-28.33333333	0.538	-67.8	-37.31666667	-20.41666667	-34.61666667	151.1666667	107.5333333	143.3333333	197	2.473333333	-181.1103167					-2.29E+01	-3.13E+01	-2.99E+01	-3.73E+01	-3.07E+01	-1.79E+01	-2.83E+01
-28.23333333	0.884	-68.1	-36.85	-23.15166667	-34.7	150.6666667	107.05	142.3333333	193.6666667	2.628333333	-181.0768333					-2.27E+01	-3.15E+01	-2.99E+01	-3.75E+01	-3.08E+01	-1.70E+01	-2.82E+01
-28.11666667	1.308333333	-68.5	-35.75	-25.41666667	-34.6	150.5	105.8833333	140.5	190.5	2.777316667	-181.3723333					-2.25E+01	-3.17E+01	-2.98E+01	-3.78E+01	-3.08E+01	-1.61E+01	-2.81E+01
-27.96666667	1.85	-69.03333333	-34.03333333	-27.01666667	-34.28333333	150	104.6833333	137.8333333	187	2.945	-181.4976667					-2.23E+01	-3.18E+01	-2.97E+01	-3.80E+01	-3.08E+01	-1.52E+01	-2.80E+01
-27.78333333	2.51	-69.7	-31.56666667	-27.83333333	-33.68333333	149.8333333	103.2666667	134.6666667	183.6666667	3.12485	-181.6318333					-2.20E+01	-3.20E+01	-2.96E+01	-3.81E+01	-3.07E+01	-1.43E+01	-2.78E+01
-27.55	3.2595	-70.55	-28.31666667	-27.8	-32.83333333	149.3333333	101.4	130.5	180.5	3.316833333	-181.7555					-2.16E+01	-3.22E+01	-2.94E+01	-3.82E+01	-3.04E+01	-1.35E+01	-2.76E+01
-27.28333333	4.129516667	-71.61666667	-24.26666667	-26.8	-31.68333333	148.8333333	99.5	125.3333333	177.5	3.505	-181.883					-2.13E+01	-3.23E+01	-2.92E+01	-3.82E+01	-3.01E+01	-1.26E+01	-2.73E+01
-26.96666667	5.0936	-72.83333333	-19.38333333	-24.74333333	-30.18333333	147.6666667	97.26666667	119	174.5	3.690633333	-182.1783333					-2.09E+01	-3.24E+01	-2.89E+01	-3.80E+01	-2.98E+01	-1.18E+01	-2.70E+01
-26.58333333	6.175	-74.13333333	-13.67833333	-21.62166667	-28.36666667	147.1666667	94.86666667	112.1666667	172	3.890666667	-182.2851667					-2.04E+01	-3.24E+01	-2.86E+01	-3.78E+01	-2.93E+01	-1.10E+01	-2.66E+01
-26.21666667	7.391666667	-75.48333333	-7.171666667	-17.40333333	-26.15	146.3333333	92.43333333	104.9333333	169.6666667	4.089166667	-182.381					-2.00E+01	-3.24E+01	-2.83E+01	-3.75E+01	-2.88E+01	-1.03E+01	-2.62E+01
