body_Z	body_Y	body_X	chain_1_segment_1_Y	chain_1_segment_1_Z	chain_1_segment_1_X	chain_1_segment_2_Y	chain_1_segment_2_Z	chain_1_segment_2_X	chain_1_segment_3_Y	chain_1_segment_3_Z	chain_1_segment_3_X	chain_1_segment_4_Z	chain_1_segment_4_Y	chain_1_segment_4_X	chain_2_segment_1_Y	chain_2_segment_1_Z	chain_2_segment_1_X	chain_2_segment_2_Y	chain_2_segment_2_Z	chain_2_segment_2_X	chain_2_segment_3_Y	chain_2_segment_3_Z	chain_2_segment_3_X	chain_2_segment_4_Z	chain_2_segment_4_Y	chain_2_segment_4_X
8.667969e+001	9.099742e+000	-7.753119e+001	7.863975e+001	2.198425e+001	-1.489968e+002	-1.182116e+002	-2.703341e-014	-2.031633e+002	-2.230039e+000	2.558090e-014	0	-3.365691e+001	-3.815895e+001	0	7.787487e+001	-5.500585e+000	-1.560235e+002	-1.006408e+002	-3.190669e-014	-1.617967e+002	-1.069953e+002	3.019626e-014	0	6.902564e-001	1.207341e+001	0
8.657670e+001	9.061338e+000	-7.746533e+001	7.850075e+001	2.197409e+001	-1.485871e+002	-1.187437e+002	0	-2.056421e+002	-2.171015e+000	1.278256e-014	0	-3.538517e+001	-3.670732e+001	0	7.809778e+001	-5.422977e+000	-1.561685e+002	-1.005835e+002	-1.585899e-014	-1.617214e+002	-1.064360e+002	0	0	5.878206e-001	1.205476e+001	0
8.646872e+001	9.019267e+000	-7.740001e+001	7.835711e+001	2.196529e+001	-1.481736e+002	-1.192750e+002	4.076985e-014	-2.081884e+002	-2.120579e+000	0	0	-3.702541e+001	-3.513256e+001	0	7.831879e+001	-5.349040e+000	-1.563233e+002	-1.005297e+002	0	-1.616494e+002	-1.058658e+002	-3.014932e-014	0	4.908016e-001	1.203762e+001	0
8.635565e+001	8.973416e+000	-7.733534e+001	7.820852e+001	2.195826e+001	-1.477555e+002	-1.198052e+002	1.362668e-014	-2.107443e+002	-2.079256e+000	2.552204e-014	0	-3.854087e+001	-3.347039e+001	0	7.853657e+001	-5.279715e+000	-1.564879e+002	-1.004806e+002	0	-1.615812e+002	-1.052897e+002	3.012039e-014	0	3.995439e-001	1.202246e+001	0
8.623737e+001	8.923698e+000	-7.727143e+001	7.805467e+001	2.195339e+001	-1.473321e+002	-1.203339e+002	1.366353e-014	-2.132432e+002	-2.047200e+000	1.274773e-014	0	-3.990209e+001	-3.176682e+001	0	7.874981e+001	-5.215891e+000	-1.566623e+002	-1.004375e+002	0	-1.615174e+002	-1.047131e+002	-9.026379e-014	0	3.143869e-001	1.200971e+001	0
8.611377e+001	8.870061e+000	-7.720836e+001	7.789531e+001	2.195103e+001	-1.469024e+002	-1.208610e+002	2.740113e-014	-2.156152e+002	-2.024165e+000	0	0	-4.108935e+001	-3.007456e+001	0	7.895720e+001	-5.158393e+000	-1.568461e+002	-1.004015e+002	1.547146e-014	-1.614582e+002	-1.041416e+002	0	0	2.356517e-001	1.199977e+001	0
8.598473e+001	8.812495e+000	-7.714622e+001	7.773025e+001	2.195148e+001	-1.464655e+002	-1.213862e+002	2.747567e-014	-2.177923e+002	-2.009525e+000	1.271749e-014	0	-4.209344e+001	-2.844813e+001	0	7.915742e+001	-5.107958e+000	-1.570389e+002	-1.003737e+002	-4.612340e-014	-1.614041e+002	-1.035811e+002	0	0	1.636273e-001	1.199295e+001	0
8.585014e+001	8.751048e+000	-7.708509e+001	7.755935e+001	2.195498e+001	-1.460201e+002	-1.219094e+002	-1.377540e-014	-2.197135e+002	-2.002338e+000	0	0	-4.291494e+001	-2.693874e+001	0	7.934921e+001	-5.065222e+000	-1.572401e+002	-1.003553e+002	1.527835e-014	-1.613552e+002	-1.030376e+002	-2.997238e-014	0	9.855931e-002	1.198950e+001	0
8.570990e+001	8.685828e+000	-7.702506e+001	7.738256e+001	2.196171e+001	-1.455653e+002	-1.224304e+002	0	-2.213297e+002	-2.001440e+000	6.342497e-015	0	-4.356247e+001	-2.558989e+001	0	7.953135e+001	-5.030701e+000	-1.574488e+002	-1.003472e+002	0	-1.613115e+002	-1.025170e+002	0	0	4.063908e-002	1.198960e+001	0
8.556391e+001	8.617014e+000	-7.696621e+001	7.719992e+001	2.197181e+001	-1.450998e+002	-1.229490e+002	-1.385161e-014	-2.226062e+002	-2.005552e+000	0	0	-4.405030e+001	-2.443435e+001	0	7.970264e+001	-5.004778e+000	-1.576640e+002	-1.003504e+002	-3.018103e-014	-1.612731e+002	-1.020252e+002	8.965711e-014	0	-1.000416e-002	1.199331e+001	0
8.541208e+001	8.544864e+000	-7.690861e+001	7.701153e+001	2.198532e+001	-1.446223e+002	-1.234650e+002	0	-2.235240e+002	-2.013389e+000	-6.327050e-015	0	-4.439617e+001	-2.349265e+001	0	7.986197e+001	-4.987687e+000	-1.578844e+002	-1.003659e+002	-2.999920e-014	-1.612396e+002	-1.015680e+002	2.984175e-014	0	-5.330948e-002	1.200062e+001	0
8.525432e+001	8.469719e+000	-7.685237e+001	7.681761e+001	2.200226e+001	-1.441317e+002	-1.239782e+002	1.392956e-014	-2.240800e+002	-2.023736e+000	0	0	-4.461949e+001	-2.277298e+001	0	8.000826e+001	-4.979507e+000	-1.581085e+002	-1.003946e+002	-2.982239e-014	-1.612107e+002	-1.011508e+002	-2.979860e-014	0	-8.928798e-002	1.201141e+001	0
